ts_code,trade_date,close,return_1,return_3,ma_ratio_5_10,ma_ratio_5_20,vol_ratio_5,high_low_range,return_std_5,momentum_3,amount_ratio,green_days
000001.SZ,20250613,11.58,-0.008561643835616417,-0.019475021168501305,1.000426584762392,1.0119962026408906,0.9640434389594144,0.015544041450777177,0.009269973376504488,-0.23000000000000043,0.9546999302949463,0.6
000002.SZ,20250613,6.44,-0.01075268817204289,-0.024242424242424176,0.9948343968398662,0.9853284177262809,0.989229919969711,0.013975155279503083,0.005447742575042431,-0.15999999999999925,0.9744196781342226,0.2
000004.SZ,20250613,9.31,-0.050000000000000044,-0.05193482688391038,0.9847236180904524,1.0167591968038188,1.058847066029386,0.05263157894736844,0.030684846134916448,-0.5099999999999998,1.017880047670411,0.4
000006.SZ,20250613,6.87,-0.0199714693295292,0.008810572687224738,1.0067172897196264,1.0032743942370665,0.9794227473606995,0.03930131004366806,0.01596483268919951,0.0600000000000005,0.9741585932117103,0.8
000007.SZ,20250613,7.94,-0.02933985330073341,-0.018541409147095123,1.0004899559039686,1.0316387748658036,0.9999865806901317,0.037783375314861437,0.024177136070299483,-0.14999999999999947,0.9805049946189294,0.4
000008.SZ,20250613,2.76,-0.014285714285714346,-0.024734982332155542,0.9992897727272728,0.9992897727272728,0.897391511838449,0.018115942028985605,0.006366512832002505,-0.07000000000000028,0.8846987325795229,0.2
000009.SZ,20250613,8.12,-0.007334963325183463,0.004950495049504955,1.0105106961790529,1.0128904313336637,1.1760552498941381,0.02216748768472903,0.017435948232955717,0.03999999999999915,1.1665018343944442,0.4
000010.SZ,20250613,3.15,-0.042553191489361764,-0.03669724770642202,1.0333227546810537,1.075297225891678,1.0197389203962133,0.073015873015873,0.026571054544740548,-0.1200000000000001,1.00798506212186,0.4
000011.SZ,20250613,8.45,-0.019721577726218076,-0.016298020954598424,1.0006981615080288,1.0057303239387207,0.8810313632225361,0.02958579881656805,0.01496005725576748,-0.14000000000000057,0.8677280638644341,0.6
000012.SZ,20250613,4.57,-0.017204301075268824,-0.021413276231263323,0.9978559176672387,0.9938073884262227,1.7706169962641167,0.01969365426695839,0.0079802959094818,-0.09999999999999964,1.7535533324452843,0.2
000014.SZ,20250613,11.64,-0.028380634390651083,0.038358608385370196,1.003684977290256,1.0072672543539023,0.7636300972089484,0.027491408934707928,0.055268079419264524,0.4299999999999997,0.7543658747840746,0.2
000016.SZ,20250613,4.71,-0.01670146137787054,-0.04462474645030423,0.9934506753990996,0.9703148425787109,0.8257500762197663,0.02123142250530778,0.016331081109701873,-0.21999999999999975,0.8017175999794635,0.4
000017.SZ,20250613,7.1,0.0056657223796034994,0.03197674418604657,1.0,1.0225061710469,1.156388460337612,0.04929577464788728,0.02144861683535195,0.21999999999999975,1.1620669387080957,0.6
000019.SZ,20250613,6.85,-0.001457725947521915,-0.010115606936416222,0.9998548831809607,1.0059862753686668,0.9786371189493245,0.01459854014598548,0.005406228422525539,-0.07000000000000028,0.9729125528890419,0.4
000020.SZ,20250613,12.38,-0.019017432646592614,-0.025196850393700676,1.0144277011862775,1.0260651019498153,0.5079738022701618,0.023424878836833675,0.016055963655279486,-0.3199999999999985,0.4907291716959847,0.2
000021.SZ,20250613,17.03,-0.015037593984962294,-0.025743707093821455,0.9977048427817304,0.9911363182945249,1.2581610144988802,0.02524955960070462,0.009107699436717282,-0.4499999999999993,1.232424778010448,0.4
000025.SZ,20250613,18.18,0.013943112102621225,0.012249443207126953,0.9966348540850665,1.0024692728130289,1.6520660358506762,0.034653465346534795,0.010936564033295043,0.21999999999999886,1.6634479111095728,0.6
000026.SZ,20250613,11.89,-0.034118602761982086,-0.04497991967871473,0.9408113835906753,0.9375825004714312,0.8838611811769401,0.05298570227081573,0.025354823371101606,-0.5599999999999987,0.8527995939471497,0.2
000027.SZ,20250613,6.39,-0.022935779816513846,-0.018433179723502335,1.0057373236160643,1.0039470629208265,1.121053127837041,0.009389671361502287,0.013136126716532135,-0.1200000000000001,1.1084385433099597,0.4
000028.SZ,20250613,25.48,-0.016595908915476687,-0.023380605596013737,1.0055382215288613,1.0143006078250092,0.7759913104330701,0.023940345368916774,0.014726712965169418,-0.6099999999999994,0.7710997666396938,0.6
000029.SZ,20250613,20.1,-0.02663438256658579,-0.023323615160349753,1.0213946117274169,1.089573922920464,0.9100510583276478,0.045273631840796025,0.02411722819956499,-0.4799999999999969,0.8947171207091674,0.4
000030.SZ,20250613,5.9,-0.02960526315789469,-0.016666666666666607,0.9953810623556584,0.9805004874878129,0.9506814054241254,0.032203389830508536,0.01768047182328293,-0.09999999999999964,0.9308860334796797,0.2
000031.SZ,20250613,2.61,-0.018796992481203145,-0.018796992481203145,1.0064223649414432,1.0121580547112463,0.8996184238117353,0.026819923371647448,0.01567194975536104,-0.050000000000000266,0.8843546945690267,0.4
000032.SZ,20250613,19.05,-0.03495440729483268,-0.05879446640316199,0.9969418960244648,0.9886400357950732,0.8278900114621035,0.03517060367454077,0.026198057283559225,-1.1899999999999977,0.7973814301605987,0.4
000034.SZ,20250613,36.13,-0.027979553403282176,-0.032145727297079985,0.9961771860881651,0.9818718381112982,1.1866084330470872,0.026570716855798527,0.0151796336851655,-1.1999999999999957,1.156011936693388,0.4
000035.SZ,20250613,4.32,-0.011441647597253968,-0.015945330296127436,1.0043587978894242,1.0006857142857144,1.1094862094568883,0.01620370370370377,0.010579777028087704,-0.0699999999999994,1.0985614693371015,0.4
000036.SZ,20250613,3.51,-0.019553072625698387,-0.03305785123966942,1.0030666294954003,1.0069969213546044,0.5669016195695535,0.025641025641025602,0.012827506307794029,-0.1200000000000001,0.5524665615358482,0.2
000037.SZ,20250613,9.25,0.025498891352550013,0.019845644983461863,1.00164744645799,1.0248918357026466,1.4539840304898348,0.0908108108108108,0.023173222160942374,0.17999999999999972,1.4943848981050782,0.8
000039.SZ,20250613,7.88,0.014157014157014203,0.018087855297157507,1.0030880082346887,0.9921099516416393,1.4797910174889743,0.021573604060913697,0.008559070553716625,0.13999999999999968,1.4857524538984512,0.6
000042.SZ,20250613,6.91,0.0,-0.008608321377331363,0.9992819187131988,1.0091370558375639,0.6506143008078661,0.011577424023154858,0.016334027872708573,-0.05999999999999961,0.6462122943711359,0.4
000045.SZ,20250613,11.01,-0.020462633451957313,-0.021333333333333315,1.0021340921216433,1.0300703774792068,0.8361603804368611,0.032697547683923814,0.015882427730279928,-0.2400000000000002,0.8168175656221576,0.4
000048.SZ,20250613,15.9,-0.01303538175046548,-0.04216867469879526,0.9985248924400739,0.9854421933761981,0.9634627983010549,0.04402515723270447,0.016794547171177537,-0.7000000000000011,0.9425376503250473,0.2
000049.SZ,20250613,21.08,-0.018164881229622787,-0.009398496240601628,1.0045627734136133,0.9956873441033172,0.9306242688203877,0.02182163187855792,0.01133980084272306,-0.20000000000000284,0.9218325629206184,0.6
000050.SZ,20250613,7.91,-0.019826517967781898,-0.023456790123456694,0.9909446891825746,0.9808624031007752,1.129912554832122,0.02402022756005062,0.011973134231517394,-0.1899999999999995,1.1042418882570455,0.2
000055.SZ,20250613,4.05,-0.024096385542168752,-0.021739130434782594,1.0031561058509344,1.002304426925409,1.0542355260164942,0.027160493827160574,0.011223409239108589,-0.08999999999999986,1.0428705246921808,0.4
000056.SZ,20250613,3.09,-0.015923566878981,-0.009615384615384692,1.00383877159309,1.0031969309462916,0.8651511049045464,0.022653721682847988,0.017422009346226893,-0.03000000000000025,0.8479472806307229,0.4
000058.SZ,20250613,8.01,-0.026731470230862753,-0.011111111111111072,0.998778402150012,0.9904300423985463,0.9084126601078575,0.0274656679151062,0.020928736545385154,-0.08999999999999986,0.8933421660433748,0.4
000059.SZ,20250613,5.38,0.0074906367041198685,-0.021818181818181848,0.9970685232685965,0.9957913998170175,0.9497441444684047,0.022304832713754667,0.01211726068926874,-0.1200000000000001,0.9415361575282185,0.2
