ts_code,trade_date,close,return_1,return_3,ma_ratio_5_10,ma_ratio_5_20,vol_ratio_5,high_low_range,return_std_5,momentum_3,amount_ratio,green_days,amount,future_max_return,预测概率,模型信心分,建议,预测标签,成交金额(亿),波动率,预测得分,综合评分
300399.SZ,20250626,40.97,0.1501965188096574,0.656692276587141,1.0918194640338503,1.1606349682328465,1.975286660290212,0.0673663656333904,0.0995996994738796,16.24,2.362252294106138,0.6,3242147.126,0.0,5.4e-05,0,❌ 不建议买入,0,324.21471260000004,9.96,65.67,26.74
300591.SZ,20250626,10.0,0.2004801920768306,0.4245014245014247,1.1010392609699768,1.149141307622778,1.2947056764545042,0.0839999999999999,0.1142247803289214,2.9800000000000004,1.581728731532826,0.8,1128298.201,0.0,5.4e-05,0,❌ 不建议买入,0,112.82982009999999,11.42,42.45,17.3
300803.SZ,20250626,82.0,0.0416666666666667,0.3997951519289859,1.0569491525423729,1.1000705625761753,1.858528163141346,0.1054878048780486,0.0880611281410861,23.42,2.073899267236041,0.8,9484650.594,0.0,4.7e-05,0,❌ 不建议买入,0,948.4650594000001,8.81,39.98,16.41
300600.SZ,20250626,13.52,0.1996450754214729,0.3880903490759753,1.0777878149151865,1.1248690551016132,1.0111527824088118,0.0946745562130177,0.1137376097865216,3.78,1.2260144096116978,0.8,318613.265,0.0,5.1e-05,0,❌ 不建议买入,0,31.8613265,11.37,38.81,15.77
002263.SZ,20250626,3.41,0.1,0.33203125,1.0549853372434017,1.064545958942112,3.4978232736183874,0.0762463343108505,0.0504332786588576,0.8500000000000001,3.656532748067088,0.8,1543688.191,0.0,5.2e-05,0,❌ 不建议买入,0,154.36881910000002,5.04,33.2,14.01
002217.SZ,20250626,2.85,0.1003861003861004,0.3317757009345794,1.056719022687609,1.08028545941124,1.884703514836325,0.024561403508772,0.058220710822498,0.71,2.0860652607207544,0.2,579964.655,0.0,5.1e-05,0,❌ 不建议买入,0,57.9964655,5.82,33.18,13.69
002759.SZ,20250626,11.44,0.0999999999999998,0.3317811408614668,1.0810084033613443,1.1559336248727012,0.9752492380298484,0.0166083916083915,0.053726911240679,2.85,1.1682354357396814,0.4,449116.444,0.0,5.8e-05,0,❌ 不建议买入,0,44.9116444,5.37,33.18,13.51
002670.SZ,20250626,15.93,0.1001381215469612,0.3319397993311035,1.0500039004602544,1.0722963553077076,1.0248809121741167,0.0,0.0535100426414883,3.969999999999999,1.1799568265310552,0.6,836984.55,0.0,4.6e-05,0,❌ 不建议买入,0,83.69845500000001,5.35,33.19,13.51
300169.SZ,20250626,10.58,0.0676084762865791,0.3192019950124689,1.0338963308095517,1.0422733677782998,2.3628628523745423,0.1266540642722117,0.0783573277195474,2.5600000000000005,2.62530109860485,0.6,1946495.839,0.0,4.3e-05,0,❌ 不建议买入,0,194.64958389999998,7.84,31.92,13.29
001236.SZ,20250626,13.21,0.0999167360532891,0.3303121852970796,1.023461219983439,1.0613997423787032,0.2733213750435742,0.0,0.0682566349604176,3.280000000000001,0.3384441642968879,0.6,101255.495,0.0,5.2e-05,0,❌ 不建议买入,0,10.1255495,6.83,33.03,13.28
