ts_code,trade_date,close,return_1,return_3,ma_ratio_5_10,ma_ratio_5_20,vol_ratio_5,high_low_range,return_std_5,momentum_3,amount_ratio,green_days,future_max_return,预测概率,预测标签,建议,模型信心分,波动率,综合评分
600804.SH,20250610,0.23,-0.6290322580645161,-0.661764705882353,0.8157524613220816,0.627366143861547,3.512073240371138,0.3913043478260869,0.25916519617239,-0.45,2.3140655608013785,0.0,0.0,6.2e-05,0,❌ 不建议买入,0.01,25.92,5.88
300225.SZ,20250430,4.22,0.0932642487046631,0.1561643835616437,0.7673549655850541,0.6568470667452234,1.6027568415920812,0.3127962085308056,0.1814869761415224,0.5699999999999998,1.783510883371974,0.6,0.0,5.4e-05,0,❌ 不建议买入,0.01,18.15,4.17
300619.SZ,20250610,24.8,0.1998064828253507,0.0201563142739613,0.9649838517763046,0.9304650686334768,2.7599782077466943,0.166532258064516,0.1507817773475985,0.490000000000002,2.8863552881977803,0.8,0.0,5.2e-05,0,❌ 不建议买入,0.01,15.08,3.89
300804.SZ,20250610,50.85,-0.1031746031746031,0.1345381526104418,1.109859417186482,1.3620497586334943,1.2237551063379688,0.2167158308751229,0.1490637519770302,6.030000000000001,1.454391255016198,0.6,0.0,5.5e-05,0,❌ 不建议买入,0.01,14.91,3.42
002750.SZ,20250610,0.71,0.0289855072463769,-0.3716814159292035,0.8306828811973807,0.7443419949706621,0.8151733691043971,0.0704225352112676,0.1584941685009571,-0.4199999999999999,0.7352157461406023,0.4,0.0,5.7e-05,0,❌ 不建议买入,0.01,15.85,3.4
002980.SZ,20250610,19.9,0.0263022176379577,-0.2802893309222423,0.94482838500444,0.9372295201256176,2.023118772991963,0.0628140703517588,0.1403404115026824,-7.75,1.7985292069728696,0.6,0.0,5.2e-05,0,❌ 不建议买入,0.01,14.03,3.35
300695.SZ,20250610,57.19,-0.0227272727272728,-0.3061150206260616,0.8972187020609618,0.8141033787832024,1.0388261898451108,0.0652211925161742,0.1539065797996897,-25.230000000000004,0.9061405461968668,0.4,0.0,5.6e-05,0,❌ 不建议买入,0.01,15.39,3.35
300889.SZ,20250610,12.34,-0.0016181229773462,-0.2787843366452367,0.9479445239131786,0.9219137482610535,1.6418592550394926,0.0340356564019448,0.1311351291129975,-4.77,1.4201025717855604,0.6,0.0,3.9e-05,0,❌ 不建议买入,0.0,13.11,3.05
000403.SZ,20250610,17.14,0.0106132075471698,-0.2402482269503545,0.9374390005855946,0.9098013213668332,2.98949179732739,0.0904317386231038,0.1074529772613624,-5.419999999999998,2.888326872449294,0.6,0.0,5.5e-05,0,❌ 不建议买入,0.01,10.75,3.02
300058.SZ,20250610,6.53,-0.0091047040971168,0.03486529318542,0.8639308855291576,0.8010012515644556,1.1001717010226455,0.0352220520673812,0.1340905920474847,0.2200000000000006,1.113790701185405,0.6,0.0,3.9e-05,0,❌ 不建议买入,0.0,13.41,3.02
