ts_code,trade_date,close,return_1,return_3,ma_ratio_5_10,ma_ratio_5_20,vol_ratio_5,high_low_range,return_std_5,momentum_3,amount_ratio,green_days,amount,future_max_return,预测概率,模型信心分,建议,预测标签,成交金额(亿),波动率,预测得分,综合评分
300164.SZ,20250619,8.24,0.1135135135135134,0.3574958813838549,1.235068493150685,1.418799832144356,1.0032266134708785,0.2269417475728155,0.0630941463679497,2.17,1.1818584980297353,0.8,2396794.517,0.0,4.4e-05,0,❌ 不建议买入,0,239.6794517,6.31,35.75,14.54
600110.SH,20250619,4.68,0.1011764705882352,0.3333333333333332,1.033978044955567,1.0913103448275865,2.1440940095339944,0.0726495726495726,0.0655266278723699,1.17,2.3758833532449515,0.8,1183668.888,0.0,4.4e-05,0,❌ 不建议买入,0,118.3668888,6.55,33.33,13.81
002490.SZ,20250619,6.38,0.1,0.3319415448851774,1.1390019276076246,1.224358236445263,1.5538481780266395,0.1457680250783698,0.0005594024043684,1.59,1.741012836596057,0.8,953368.24,0.0,5e-05,0,❌ 不建议买入,0,95.336824,0.06,33.19,13.62
002207.SZ,20250619,10.05,0.099562363238512,0.3311258278145697,1.154704504752721,1.272023674026861,1.4444804784616818,0.0338308457711442,0.0005905639050955,2.500000000000001,1.657040857894179,0.2,395320.318,0.0,5e-05,0,❌ 不建议买入,0,39.532031800000006,0.06,33.11,13.58
300875.SZ,20250619,49.77,-0.0256460454189505,0.3194591728525981,1.2140161725067384,1.3051886648567854,1.210498975769089,0.2035362668274059,0.094588947374204,12.050000000000004,1.3931422988029776,1.0,1395395.079,0.0,5.5e-05,0,❌ 不建议买入,0,139.5395079,9.46,31.95,13.06
300269.SZ,20250619,5.45,0.09,0.3069544364508394,1.0520018407731246,1.1018194963248582,2.4588391389854105,0.2110091743119266,0.0901467557297028,1.2800000000000002,2.629366613695951,0.6,1176670.581,0.0,5.9e-05,0,❌ 不建议买入,0,117.6670581,9.01,30.7,12.81
600113.SH,20250619,18.81,0.0785550458715593,0.3053435114503815,1.0722185209860091,1.1033489870770918,2.354301676696536,0.0776182881446039,0.0472551417815085,4.399999999999999,2.546662684110047,0.8,765406.253,0.0,5.2e-05,0,❌ 不建议买入,0,76.5406253,4.73,30.53,12.72
600722.SH,20250619,8.15,0.0625814863103,0.2854889589905363,1.1473199605392963,1.2452931203711963,2.5457597952138733,0.173006134969325,0.0167161410241003,1.8100000000000005,2.7102625935679194,0.4,1567349.21,0.0,5e-05,0,❌ 不建议买入,0,156.73492099999999,1.67,28.55,11.96
002017.SZ,20250619,17.01,0.0591531755915319,0.2818387339864356,1.1017204950196198,1.2378651066174913,1.537491278844696,0.0576131687242798,0.0737661454665761,3.740000000000002,1.7547596249384,0.6,3349539.079,0.0,4.7e-05,0,❌ 不建议买入,0,334.9539079,7.38,28.18,11.62
300619.SZ,20250619,29.36,-0.0200267022696929,0.2440677966101694,1.0750978572293288,1.0813816617282948,1.284936121764188,0.1624659400544957,0.1018167174281755,5.759999999999998,1.4352176195328603,0.8,1219020.84,0.0,5.9e-05,0,❌ 不建议买入,0,121.902084,10.18,24.41,10.05
