ts_code,trade_date,close,return_1,return_3,ma_ratio_5_10,ma_ratio_5_20,vol_ratio_5,high_low_range,return_std_5,momentum_3,amount_ratio,green_days,amount,future_max_return,预测概率,模型信心分,建议,预测标签,成交金额(亿),波动率,预测得分,综合评分
002658.SZ,20250703,10.42,0.1003167898627244,0.330779054916986,1.1051761414218495,1.1477250214620618,1.3990640315811134,0.0786948176583493,0.0415076560489614,2.59,1.5838528551122155,0.6,570287.765,0.0,5.5e-05,0,❌ 不建议买入,0,57.0287765,4.15,33.08,13.55
002549.SZ,20250703,13.26,0.0642054574638844,0.2873786407766989,1.091731639233805,1.126483587426131,2.149670488162744,0.0957767722473604,0.0453789117420568,2.959999999999999,2.3338230450755484,0.6,2989783.278,0.0,4.5e-05,0,❌ 不建议买入,0,298.9783278,4.54,28.74,11.96
300961.SZ,20250703,23.08,0.0655586334256692,0.2605133806663025,1.0734334203655351,1.1131229376427785,2.2820678375884618,0.0966204506065858,0.0922901621596741,4.77,2.507905151439039,0.6,1656435.178,0.0,5e-05,0,❌ 不建议买入,0,165.6435178,9.23,26.05,10.92
300670.SZ,20250703,8.21,0.044529262086514,0.2477203647416415,1.0564754583086935,1.091408934707904,3.07782579622945,0.1753958587088915,0.0856713677918974,1.6300000000000008,3.2062574595406144,0.8,911484.238,0.0,5.1e-05,0,❌ 不建议买入,0,91.1484238,8.57,24.77,10.55
300324.SZ,20250703,5.39,0.1182572614107881,0.239080459770115,1.0685600177501664,1.1331764705882352,1.8074041905093208,0.1632653061224491,0.1100388374343507,1.04,1.902229192860293,0.4,2684587.146,0.0,5.9e-05,0,❌ 不建议买入,0,268.4587146,11.0,23.91,9.94
300452.SZ,20250703,15.2,0.0826210826210827,0.2387938060309697,1.061747572815534,1.0722830136878847,1.5559233265487022,0.1519736842105263,0.0948815673862263,2.93,1.580708089584685,0.8,857287.33,0.0,5.7e-05,0,❌ 不建议买入,0,85.72873299999999,9.49,23.88,9.87
600744.SH,20250703,5.54,0.0992063492063493,0.2283813747228382,1.0549450549450547,1.0630767560525456,1.9060603353213992,0.111913357400722,0.046708091092873,1.0300000000000002,2.0011058532335944,1.0,1922808.378,0.0,5.1e-05,0,❌ 不建议买入,0,192.2808378,4.67,22.84,9.54
002342.SZ,20250703,7.52,0.0994152046783625,0.2267536704730832,1.0630367849619184,1.082955014444903,1.4351802660192985,0.0332446808510638,0.061882090332471,1.3899999999999997,1.626320603837632,0.2,1579917.539,0.0,4.9e-05,0,❌ 不建议买入,0,157.99175390000002,6.19,22.68,9.4
002696.SZ,20250703,7.4,0.099554234769688,0.2191103789126853,1.0525459573775826,1.0699520423350424,2.9404322204198245,0.0445945945945946,0.0486697498246029,1.33,3.12093578700138,1.0,446550.042,0.0,4.4e-05,0,❌ 不建议买入,0,44.6550042,4.87,21.91,9.39
600819.SH,20250703,7.06,0.0996884735202492,0.2130584192439861,1.0395556303652584,1.0424508397333108,3.0193541765487244,0.0878186968838525,0.0505243960499673,1.239999999999999,3.196338657829616,0.8,516920.569,0.0,4.8e-05,0,❌ 不建议买入,0,51.692056900000004,5.05,21.31,9.16
