ts_code,trade_date,close,return_1,return_3,ma_ratio_5_10,ma_ratio_5_20,vol_ratio_5,high_low_range,return_std_5,momentum_3,amount_ratio,green_days,amount,future_max_return,预测概率,模型信心分,建议,预测标签,成交金额(亿),波动率,预测得分,综合评分
300965.SZ,20250701,65.72,-0.0012158054711245,0.4383891442328738,1.1155013364953676,1.2028823752505824,1.885456713051088,0.1247717589774802,0.1030656066347763,20.03,2.146207680207663,0.8,638566.328,0.0,4.1e-05,0,❌ 不建议买入,0,63.8566328,10.31,43.84,17.97
300293.SZ,20250701,28.81,0.1459824980111375,0.3712517848643502,1.0747980910425845,1.1109424654935256,3.082057803846702,0.1447414092329053,0.095518465163678,7.799999999999997,3.327541214781648,0.6,2992272.513,0.0,5.7e-05,0,❌ 不建议买入,0,299.2272513,9.55,37.13,15.52
300697.SZ,20250701,15.69,0.0873180873180872,0.357266435986159,1.085035936364371,1.0492776259273722,1.6499595000046672,0.1606118546845124,0.0833661484834668,4.129999999999999,1.6694206806542944,0.8,1071938.829,0.0,4.3e-05,0,❌ 不建议买入,0,107.19388289999999,8.34,35.73,14.63
300414.SZ,20250701,14.26,-0.078811369509044,0.3265116279069766,1.172764036490172,1.3011268781302172,1.4327805329899677,0.150070126227209,0.1325233632614367,3.51,1.5717272283530592,0.8,1582385.547,0.0,4.9e-05,0,❌ 不建议买入,0,158.2385547,13.25,32.65,13.37
002940.SZ,20250701,40.82,0.0999730530854217,0.3218911917098446,1.0643274853801168,1.2385536221152658,0.8731563945568032,0.1126898579127878,0.0760265366834976,9.94,0.9809079716516056,0.8,617725.806,0.0,4.8e-05,0,❌ 不建议买入,0,61.7725806,7.6,32.19,13.07
600643.SH,20250701,8.16,0.0997304582210243,0.2972972972972973,1.1484193011647257,1.228441754916793,1.9204719041478144,0.1360294117647059,0.01235847710876,1.87,2.067712371385434,0.6,2537105.839,0.0,4.5e-05,0,❌ 不建议买入,0,253.71058390000002,1.24,29.73,12.31
300971.SZ,20250701,23.1,0.0734200743494424,0.2890625,1.0720148845354052,1.040112559398975,2.560152142866857,0.1043290043290043,0.0822033419969831,5.18,2.835210932895208,0.8,1041995.88,0.0,4.9e-05,0,❌ 不建议买入,0,104.199588,8.22,28.91,12.13
300991.SZ,20250701,31.1,0.0260640052787859,0.2883181441590721,1.0863867133692784,1.125224196967226,1.5487000867856306,0.1321543408360128,0.0794312539481805,6.960000000000001,1.6553104274173087,0.6,826036.482,0.0,4.6e-05,0,❌ 不建议买入,0,82.6036482,7.94,28.83,11.86
300665.SZ,20250701,10.03,0.1997607655502391,0.2728426395939085,1.0552499999999998,1.0799539465268004,2.242277963005119,0.1306081754735791,0.0836372886021791,2.1499999999999995,2.494003810416189,0.8,294063.949,0.0,4.8e-05,0,❌ 不建议买入,0,29.406394900000002,8.36,27.28,11.41
300554.SZ,20250701,27.66,0.1999999999999999,0.2728946157386103,1.0446670276123442,1.093898377152576,2.038717535800558,0.1623282718727403,0.0888673817724854,5.93,2.2762480376617424,0.8,488429.714,0.0,4.9e-05,0,❌ 不建议买入,0,48.842971399999996,8.89,27.29,11.37
