ts_code,trade_date,close,return_1,return_3,ma_ratio_5_10,ma_ratio_5_20,vol_ratio_5,high_low_range,return_std_5,momentum_3,amount_ratio,green_days,amount,future_max_return,预测概率,模型信心分,建议,预测标签,成交金额(亿),波动率,预测得分,综合评分
002125.SZ,20250623,13.52,0.1000813669650122,0.3320197044334974,1.0596393897364773,1.1072463768115943,3.1555820606763643,0.0377218934911242,0.0554692001863417,3.369999999999999,3.371303253341292,0.8,1259807.508,0.0,5.6e-05,0,❌ 不建议买入,0,125.9807508,5.55,33.2,13.95
600110.SH,20250623,5.67,0.1009708737864076,0.3341176470588234,1.1337334933973588,1.234348451182852,2.1199442014580567,0.1181657848324514,0.0006024511535935,1.42,2.350948930839161,1.0,2556209.091,0.0,4.7e-05,0,❌ 不建议买入,0,255.6209091,0.06,33.41,13.83
002490.SZ,20250623,7.72,0.0997150997150997,0.3310344827586207,1.2087870822380775,1.376965030478024,1.051891838622096,0.0518134715025906,0.0003228604910932,1.92,1.261632895449898,1.0,1253619.215,0.0,4.7e-05,0,❌ 不建议买入,0,125.36192150000001,0.03,33.1,13.49
000637.SZ,20250623,5.36,0.1006160164271048,0.3300248138957815,1.0748524203069658,1.1263144871953483,0.712980630959065,0.0279850746268657,0.0519190119460279,1.33,0.8192586794489051,0.6,167028.95,0.0,6.5e-05,0,❌ 不建议买入,0,16.702895,5.19,33.0,13.36
300483.SZ,20250623,14.72,-0.0087542087542087,0.3201793721973094,1.135336392761278,1.2560590094836672,1.316702638063448,0.1766304347826088,0.0925233540923972,3.5700000000000003,1.5147110045383916,0.6,1109647.327,0.0,5.5e-05,0,❌ 不建议买入,0,110.9647327,9.25,32.02,13.11
300801.SZ,20250623,21.64,0.2002218524681087,0.304400241109102,1.0361431937022354,1.0802132630443897,2.504960786651704,0.1866913123844731,0.084186525598421,5.050000000000001,2.7018294390834185,0.8,774902.392,0.0,5.4e-05,0,❌ 不建议买入,0,77.4902392,8.42,30.44,12.72
600113.SH,20250623,22.76,0.1000483325277912,0.3050458715596329,1.1533586818757924,1.2451945005538545,1.1647806683032056,0.1168717047451669,0.0096186793508321,5.32,1.3571031117090837,1.0,774279.568,0.0,5e-05,0,❌ 不建议买入,0,77.4279568,0.96,30.5,12.47
002579.SZ,20250623,11.5,0.0550458715596329,0.2763596004439512,1.0974177102959104,1.1627524659464537,2.464202799321685,0.1460869565217391,0.049098028848768,2.49,2.559220784500048,0.4,2621600.511,0.0,4.6e-05,0,❌ 不建议买入,0,262.1600511,4.91,27.64,11.57
300429.SZ,20250623,14.96,0.0483531885073582,0.2656514382402708,1.0376723308752809,1.0455077730668283,2.5344246065235883,0.1209893048128341,0.0861491172994586,3.140000000000001,2.6178276732333376,0.8,2348505.913,0.0,5e-05,0,❌ 不建议买入,0,234.85059130000002,8.61,26.57,11.15
300291.SZ,20250623,6.42,0.1012006861063463,0.25390625,1.0513196480938416,1.1107668474051124,1.6044221356574413,0.0794392523364485,0.1024955034978706,1.2999999999999998,1.6833614313087817,0.4,1233806.914,0.0,5.6e-05,0,❌ 不建议买入,0,123.38069140000002,10.25,25.39,10.49
