ts_code,trade_date,close,return_1,return_3,ma_ratio_5_10,ma_ratio_5_20,vol_ratio_5,high_low_range,return_std_5,momentum_3,amount_ratio,green_days,amount,future_max_return,预测概率,模型信心分,建议,预测标签,成交金额(亿),波动率,预测得分,综合评分
300801.SZ,20250624,25.97,0.2000924214417743,0.5098837209302325,1.084888161483906,1.1560283687943265,1.8940870911184435,0.1451675009626492,0.0974794525560358,8.77,2.174352111466222,0.8,1064471.975,0.0,5.4e-05,0,❌ 不建议买入,0,106.44719750000002,9.75,50.99,20.83
300462.SZ,20250624,14.17,0.1998306519898389,0.3878550440744366,1.070546253088114,1.1204750047883547,1.091017478003314,0.178546224417784,0.0992396923022543,3.959999999999999,1.23745461576942,0.8,447369.445,0.0,5.3e-05,0,❌ 不建议买入,0,44.7369445,9.92,38.79,15.76
300695.SZ,20250624,76.56,0.2000000000000001,0.3396325459317586,1.0556223290598292,0.937739584337394,1.5005853489418826,0.1772466039707419,0.0800439703215995,19.410000000000004,1.629438056905856,1.0,545399.207,0.0,5.1e-05,0,❌ 不建议买入,0,54.5399207,8.0,33.96,13.91
600110.SH,20250624,6.24,0.1005291005291006,0.3333333333333335,1.1768168440117728,1.309814791482928,1.508624844562594,0.1153846153846154,0.0003298036530371,1.5600000000000005,1.739683864642715,1.0,2760411.377,0.0,4.7e-05,0,❌ 不建议买入,0,276.0411377,0.03,33.33,13.68
002125.SZ,20250624,14.87,0.0998520710059172,0.3312444046553267,1.096956829440906,1.1701424931584412,1.9080877346822185,0.0369872225958304,0.0456791064761343,3.6999999999999993,2.088308401505328,0.8,1275701.473,0.0,5.5e-05,0,❌ 不建议买入,0,127.5701473,4.57,33.12,13.67
002846.SZ,20250624,16.4,0.0999329309188463,0.331168831168831,1.0535902453710673,1.1010776370644222,1.314099933561958,0.1030487804878047,0.0609079138700874,4.079999999999998,1.4924346788351082,0.8,1109235.355,0.0,4.7e-05,0,❌ 不建议买入,0,110.9235355,6.09,33.12,13.55
600113.SH,20250624,25.04,0.1001757469244286,0.3312068048910155,1.1839710620019217,1.3196421821847046,0.8429581775825725,0.0934504792332268,0.009645843679986,6.23,1.015581135592436,1.0,666007.32,0.0,5.2e-05,0,❌ 不建议买入,0,66.600732,0.96,33.12,13.45
300410.SZ,20250624,8.12,0.1032608695652173,0.3075684380032204,1.0742146000910608,1.1304000638824565,1.9581847924469515,0.2241379310344828,0.0903006779758516,1.91,2.056803682443664,0.6,858601.377,0.0,5.9e-05,0,❌ 不建议买入,0,85.8601377,9.03,30.76,12.72
300531.SZ,20250624,23.3,0.1021759697256385,0.2908587257617727,1.0661987041036716,1.113988321909114,1.9474631050628963,0.1206008583690986,0.0983177486759136,5.25,2.169264472561032,0.6,2468815.328,0.0,5.6e-05,0,❌ 不建议买入,0,246.88153280000003,9.83,29.09,12.07
002579.SZ,20250624,12.65,0.1,0.2764883955600403,1.1374077976817705,1.2325435341136168,1.694742669841061,0.1059288537549407,0.0200942781038313,2.74,1.8684122367695224,0.6,2976230.141,0.0,4.5e-05,0,❌ 不建议买入,0,297.6230141,2.01,27.65,11.43
