ts_code,trade_date,close,return_1,return_3,ma_ratio_5_10,ma_ratio_5_20,vol_ratio_5,high_low_range,return_std_5,momentum_3,amount_ratio,green_days,amount,future_max_return,预测概率,模型信心分,建议,预测标签,成交金额(亿),波动率,预测得分,综合评分
300801.SZ,20250625,31.16,0.1998459761262996,0.7282307265668329,1.153204187952051,1.269311064718163,1.7534019422650922,0.1928754813863928,0.08638434808388,13.13,2.072706477253338,1.0,1701329.169,0.0,4.9e-05,0,❌ 不建议买入,0,170.1329169,8.64,72.82,29.54
300399.SZ,20250625,35.62,0.2001347708894878,0.4953820319059612,1.025233783583197,1.069008880032502,2.0793481420154287,0.1235261089275687,0.1148063730500703,11.799999999999995,2.38656172785852,0.6,1882972.468,0.0,4.4e-05,0,❌ 不建议买入,0,188.2972468,11.48,49.54,20.29
300591.SZ,20250625,8.33,0.2002881844380402,0.423931623931624,1.036563071297989,1.0584117601306682,1.813988862046578,0.163265306122449,0.12632888022464,2.4800000000000004,1.942434690754792,0.6,1022664.603,0.0,5.4e-05,0,❌ 不建议买入,0,102.2664603,12.63,42.39,17.34
300368.SZ,20250625,13.55,0.2001771479185121,0.4203354297693922,1.024476831091181,1.089897132634299,1.5362797864654554,0.1808118081180812,0.0907216598677463,4.010000000000002,1.788474355370007,0.6,1965169.21,0.0,4.6e-05,0,❌ 不建议买入,0,196.516921,9.07,42.03,17.17
300803.SZ,20250625,78.72,0.2000000000000001,0.3553719008264462,1.0167342073897496,1.0466748466257667,2.3571324063873003,0.1768292682926829,0.0999677666888522,20.64,2.549487338226497,0.6,7345252.153,0.0,4.5e-05,0,❌ 不建议买入,0,734.5252153,10.0,35.54,14.73
002537.SZ,20250625,11.46,0.0998080614203456,0.3310104529616726,1.0634487277492628,1.1212435233160625,1.8040486055819995,0.0837696335078534,0.0824162179201102,2.8500000000000014,2.016383801799201,0.6,3858291.805,0.0,4.9e-05,0,❌ 不建议买入,0,385.8291805,8.24,33.1,13.64
600110.SH,20250625,6.86,0.0993589743589744,0.3320388349514562,1.208791208791209,1.381475667189953,1.3282822008414412,0.1093294460641399,0.0007048265167845,1.71,1.5106167481191106,1.0,3105837.648,0.0,4.5e-05,0,❌ 不建议买入,0,310.5837648,0.07,33.2,13.58
002846.SZ,20250625,18.04,0.1,0.3313653136531365,1.0886460670091904,1.1595945581377425,1.314245025774364,0.0521064301552105,0.0618438256674662,4.489999999999998,1.5409117268899049,0.8,1440013.109,0.0,5.1e-05,0,❌ 不建议买入,0,144.0013109,6.18,33.14,13.56
300695.SZ,20250625,83.4,0.0893416927899686,0.3267578746420618,1.1010681741748471,1.0212102308172175,1.4482785110173866,0.206115107913669,0.0743141960086923,20.540000000000006,1.746830204109756,1.0,854915.643,0.0,4.3e-05,0,❌ 不建议买入,0,85.49156430000001,7.43,32.68,13.42
002125.SZ,20250625,16.36,0.1002017484868864,0.3311635475996746,1.14340792892465,1.249439025507167,0.3378459214851328,0.0,0.0002362771716835,4.07,0.3999199301775731,0.6,256811.198,0.0,5.2e-05,0,❌ 不建议买入,0,25.6811198,0.02,33.12,13.33
