ts_code,trade_date,close,return_1,return_3,ma_ratio_5_10,ma_ratio_5_20,vol_ratio_5,high_low_range,return_std_5,momentum_3,amount_ratio,green_days,future_max_return,预测概率,预测标签,建议,模型信心分,波动率,综合评分
600804.SH,20250612,0.22,-0.0434782608695653,-0.6451612903225806,0.6782608695652175,0.4805914972273568,0.9900270380591984,0.1363636363636363,0.2670586103928578,-0.4,0.8883331784743707,0.0,0.0,5.7e-05,0,❌ 不建议买入,0.01,26.71,5.61
300225.SZ,20250430,4.22,0.0932642487046631,0.1561643835616437,0.7673549655850541,0.6568470667452234,1.6027568415920812,0.3127962085308056,0.1814869761415224,0.5699999999999998,1.783510883371974,0.6,0.0,5.4e-05,0,❌ 不建议买入,0.01,18.15,4.17
300619.SZ,20250612,26.02,0.0859766277128546,0.2588292210933718,0.9715569496842016,0.9408866995073892,1.4828171611107028,0.1641045349730976,0.1557097377877015,5.349999999999998,1.526897705964014,0.8,0.0,5e-05,0,❌ 不建议买入,0.0,15.57,3.57
002750.SZ,20250612,0.71,0.0142857142857142,0.0289855072463769,0.7392670157068062,0.6295140436914847,0.8407278451445308,0.084507042253521,0.1631363633245956,0.02,0.8249617551788717,0.2,0.0,4.7e-05,0,❌ 不建议买入,0.0,16.31,3.51
300695.SZ,20250612,58.04,0.0005171522151352,-0.0082023239917977,0.8292535247815934,0.7227426072862286,0.8480002912600048,0.0432460372157132,0.1508128264330274,-0.480000000000004,0.8378194663647104,0.6,0.0,3.9e-05,0,❌ 不建议买入,0.0,15.08,3.27
000403.SZ,20250612,18.62,0.0998227997637331,0.0978773584905661,0.8813060893373217,0.8397709978983984,1.8639835612499047,0.0816326530612244,0.1234606587706509,1.66,1.9149784787002608,0.4,0.0,4.7e-05,0,❌ 不建议买入,0.0,12.35,3.04
002980.SZ,20250612,19.6,0.0010214504596528,0.0108303249097474,0.8702127659574469,0.8352511487256018,0.7937749736078326,0.0239795918367346,0.13905204653301,0.2100000000000008,0.7506100004405656,0.6,0.0,3.4e-05,0,❌ 不建议买入,0.0,13.91,3.01
300521.SZ,20250612,25.44,0.2000000000000001,0.1854613233923578,1.0012662807525323,0.9864771537416178,3.392535881230912,0.175314465408805,0.0932796317212078,3.98,3.521879961571324,0.4,0.0,4.9e-05,0,❌ 不建议买入,0.0,9.33,2.92
300976.SZ,20250612,44.9,-0.0048758865248226,0.0022321428571427,0.831865671641791,0.7857539364354882,0.9528147105496734,0.0195991091314031,0.1314270710747634,0.1000000000000014,0.9535290479726316,0.8,0.0,3.6e-05,0,❌ 不建议买入,0.0,13.14,2.91
300237.SZ,20250612,2.5,0.2019230769230768,0.4534883720930232,1.066006600660066,1.088458298230834,2.6079942958881897,0.1439999999999999,0.1014495107777556,0.78,2.870786891669281,0.8,0.0,4.2e-05,0,❌ 不建议买入,0.0,10.14,2.89
