ts_code,trade_date,close,return_1,return_3,ma_ratio_5_10,ma_ratio_5_20,vol_ratio_5,high_low_range,return_std_5,momentum_3,amount_ratio,green_days,amount,future_max_return,预测概率,模型信心分,建议,预测标签,成交金额(亿),波动率,预测得分,综合评分
300875.SZ,20250617,43.94,0.1648992576882291,0.6777395952653682,1.057231517323011,1.0812013348164629,2.108553447558509,0.2041420118343195,0.0996629773737338,17.749999999999996,2.3900824674057657,1.0,1189585.261,0.0,5.1e-05,0,❌ 不建议买入,0,118.9585261,9.97,67.77,27.59
300164.SZ,20250617,7.04,0.1598023064250411,0.6682464454976305,1.121199324324324,1.2086036189825875,1.7684610294060252,0.2443181818181819,0.0994607846278456,2.8200000000000003,1.978341051729483,0.4,2263669.383,0.0,5.6e-05,0,❌ 不建议买入,0,226.3669383,9.95,66.82,27.12
300157.SZ,20250617,5.92,0.1676528599605522,0.5063613231552162,1.091626072836929,1.1748845337660718,1.6782026461423545,0.2195945945945945,0.0909106283669489,1.99,1.808415380864112,0.8,1448503.313,0.0,5.6e-05,0,❌ 不建议买入,0,144.85033130000002,9.09,50.64,20.62
300773.SZ,20250617,31.7,0.1615976548186148,0.3523890784982935,1.0395000400608927,1.1298687161176548,1.7422887268096403,0.2003154574132492,0.0867804621186876,8.259999999999998,1.984954741154812,0.8,7414779.831,0.0,5.1e-05,0,❌ 不建议买入,0,741.4779831000001,8.68,35.24,14.49
002490.SZ,20250617,5.27,0.1002087682672232,0.3341772151898732,1.0480656506447834,1.075553416746872,3.110455439927029,0.079696394686907,0.0581064597955831,1.3199999999999994,3.340742138158161,0.6,808760.162,0.0,4.8e-05,0,❌ 不建议买入,0,80.8760162,5.81,33.42,14.04
300581.SZ,20250617,17.66,0.0400471142520613,0.3399089529590289,1.059236326109391,1.084798308966003,1.4747212362395656,0.1370328425821063,0.0854777039605403,4.48,1.5932979352434429,0.6,2249645.691,0.0,4.9e-05,0,❌ 不建议买入,0,224.9645691,8.55,33.99,13.91
002828.SZ,20250617,12.21,0.1,0.3315158124318431,1.0576451349141454,1.10390441647109,2.965804979872403,0.1375921375921377,0.0554515439358332,3.040000000000001,3.127187242640276,0.2,1212631.608,0.0,4.7e-05,0,❌ 不建议买入,0,121.2631608,5.55,33.15,13.89
002207.SZ,20250617,8.31,0.1006622516556292,0.3317307692307691,1.0704139300442952,1.1254215513088164,2.586490576843321,0.0132370637785801,0.0496904667274967,2.0700000000000003,2.8702407718120573,0.0,630575.338,0.0,5.3e-05,0,❌ 不建议买入,0,63.0575338,4.97,33.17,13.84
600722.SH,20250617,6.97,0.0993690851735016,0.330152671755725,1.0663772834147225,1.104119850187266,2.87141413239447,0.0459110473457674,0.0511641193427559,1.7299999999999995,3.1262373753474213,0.6,693238.443,0.0,5e-05,0,❌ 不建议买入,0,69.32384429999999,5.12,33.02,13.83
300468.SZ,20250617,38.62,0.0528898582333696,0.3276039876246133,1.0793348857039782,1.2952103585343775,1.191664309795747,0.1644225789746246,0.080014577491847,9.529999999999998,1.393886179731871,1.0,7447442.532,0.0,5.5e-05,0,❌ 不建议买入,0,744.7442532,8.0,32.76,13.38
