ts_code,trade_date,close,return_1,return_3,ma_ratio_5_10,ma_ratio_5_20,vol_ratio_5,high_low_range,return_std_5,momentum_3,amount_ratio,green_days,future_max_return,预测概率,预测标签,建议,模型信心分,波动率,综合评分
600804.SH,20250613,0.2,-0.0909090909090908,-0.1304347826086956,0.5870841487279843,0.3952569169960474,0.9650790020763488,0.0999999999999999,0.2630991947192661,-0.03,0.8345819217969105,0.0,0.0,4.8e-05,0,❌ 不建议买入,0.0,26.31,5.51
300225.SZ,20250430,4.22,0.0932642487046631,0.1561643835616437,0.7673549655850541,0.6568470667452234,1.6027568415920812,0.3127962085308056,0.1814869761415224,0.5699999999999998,1.783510883371974,0.6,0.0,5.4e-05,0,❌ 不建议买入,0.01,18.15,4.17
002980.SZ,20250613,21.56,0.0999999999999998,0.0834170854271356,0.8389667030109873,0.7923011425516326,2.2025021875032302,0.0862708719851576,0.1549836320593383,1.66,2.288995725457306,0.6,0.0,4.7e-05,0,❌ 不建议买入,0.0,15.5,3.79
300340.SZ,20250613,15.84,-0.1015314804310832,-0.1601272534464475,1.2075340076735266,1.4245154919145786,0.8108471374250883,0.1022727272727272,0.1431859171620859,-3.02,0.7743045255715766,0.6,0.0,4.3e-05,0,❌ 不建议买入,0.0,14.32,3.1
300237.SZ,20250613,2.34,-0.064,0.352601156069364,1.1049547149706975,1.1442758620689657,1.996483746665076,0.2051282051282051,0.1203380145144103,0.6099999999999999,2.2251859725152427,0.6,0.0,5.2e-05,0,❌ 不建议买入,0.01,12.03,3.08
300962.SZ,20250613,18.54,0.1999999999999999,0.21097322011757,1.021157277593678,1.017073944779435,4.111346017403248,0.1645091693635382,0.0882729105380329,3.229999999999998,4.208667105954452,0.6,0.0,4.9e-05,0,❌ 不建议买入,0.0,8.83,3.03
300804.SZ,20250613,57.92,-0.0520458265139116,0.1390363815142576,1.1371181807376884,1.4384263609597192,0.7292866816329404,0.1110151933701657,0.1388997253880729,7.07,0.7377284875055433,0.8,0.0,4.5e-05,0,❌ 不建议买入,0.0,13.89,3.0
300886.SZ,20250613,37.58,-0.0913926499032882,0.0615819209039547,1.123035742402771,1.2205698639513989,1.030340573563418,0.0987227248536455,0.1332664867223932,2.18,1.091829465834823,0.6,0.0,4.9e-05,0,❌ 不建议买入,0.0,13.33,2.99
300971.SZ,20250613,17.15,0.0040983606557376,0.0052754982415006,0.8191057880421816,0.776724508495283,1.5691379409889414,0.0373177842565598,0.1255252238055431,0.0899999999999998,1.5773708185438438,0.8,0.0,4e-05,0,❌ 不建议买入,0.0,12.55,2.98
300875.SZ,20250613,31.43,0.2000763650248185,0.2201086956521738,0.9520106415634912,0.952319213906754,1.3249224431697744,0.0964047088768692,0.123655642595749,5.669999999999998,1.4642339399284634,0.8,0.0,5e-05,0,❌ 不建议买入,0.0,12.37,2.91
