ts_code,trade_date,close,return_1,return_3,ma_ratio_5_10,ma_ratio_5_20,vol_ratio_5,high_low_range,return_std_5,momentum_3,amount_ratio,green_days,future_max_return,预测概率,预测标签,建议,模型信心分,波动率,综合评分
300225.SZ,20250430,4.22,0.0932642487046631,0.1561643835616437,0.7673549655850541,0.6568470667452234,1.6027568415920812,0.3127962085308056,0.1814869761415224,0.5699999999999998,1.783510883371974,0.6,0.0,5.4e-05,0,❌ 不建议买入,0.01,18.15,4.17
300695.SZ,20250609,58.52,0.047806624888093,-0.2891156462585033,0.9204853309366372,0.8549520004770138,1.839331987293314,0.0886876281613123,0.1542731847853754,-23.79999999999999,1.5725411271241063,0.4,0.0,5.5e-05,0,❌ 不建议买入,0.01,15.43,3.56
002750.SZ,20250609,0.69,-0.0416666666666667,-0.4201680672268908,0.8684907325684025,0.800976800976801,1.2765629156272935,0.0579710144927535,0.1487433936279158,-0.5,1.0630606414734367,0.2,0.0,5.1e-05,0,❌ 不建议买入,0.01,14.87,3.3
300945.SZ,20250609,24.14,0.0427645788336934,-0.1780728634661219,1.0707590982014692,1.221705725089718,0.8518320301458778,0.0745650372825186,0.1507312742874769,-5.23,0.7917463459865837,0.6,0.0,5.1e-05,0,❌ 不建议买入,0.01,15.07,3.26
300058.SZ,20250609,6.59,0.0377952755905512,0.0594855305466237,0.8989739542225731,0.8437037037037038,1.4072358678078014,0.0440060698027314,0.1406380641996412,0.3700000000000001,1.3548266437128846,0.8,0.0,3.5e-05,0,❌ 不建议买入,0.0,14.06,3.22
002980.SZ,20250609,19.39,-0.30426982418371,-0.2961887477313975,0.979448961156278,0.9843395369950068,1.8791039474798217,0.041774110366168,0.1368010056027482,-8.16,1.4860778544972997,0.6,0.0,3.9e-05,0,❌ 不建议买入,0.0,13.68,3.18
300619.SZ,20250609,20.67,0.0793733681462143,-0.1600975213327914,0.95723516408774,0.9208309479021836,2.8095241243179374,0.1427189163038219,0.1116309707163887,-3.9399999999999977,2.738329240825308,0.8,0.0,5.7e-05,0,❌ 不建议买入,0.01,11.16,3.06
300889.SZ,20250609,12.36,-0.2871972318339101,-0.2754982415005861,0.9776137463697968,0.9643400674405416,1.6371283312345126,0.0275080906148867,0.1312950197045447,-4.699999999999999,1.3039959566116854,0.8,0.0,3.7e-05,0,❌ 不建议买入,0.0,13.13,3.02
300911.SZ,20250609,40.5,0.002227171492205,0.0165662650602409,0.8956519762711095,0.82007845748832,1.0277138223161773,0.0666666666666667,0.1323939436639916,0.6599999999999966,1.066818026500679,0.4,0.0,4.6e-05,0,❌ 不建议买入,0.0,13.24,2.97
001331.SZ,20250609,9.89,0.0010121457489877,-0.2828136330674401,0.9133188998476466,0.881578947368421,1.0133699588421448,0.012133468149646,0.1312500360193225,-3.899999999999999,0.9032517352555438,0.8,0.0,3.8e-05,0,❌ 不建议买入,0.0,13.13,2.9
