ts_code,trade_date,close,return_1,return_3,ma_ratio_5_10,ma_ratio_5_20,vol_ratio_5,high_low_range,return_std_5,momentum_3,amount_ratio,green_days,amount,future_max_return,预测概率,模型信心分,建议,预测标签,成交金额(亿),波动率,预测得分,综合评分
300591.SZ,20250627,11.23,0.123,0.6181556195965419,1.172255892255892,1.2620894656709922,1.7010728631882772,0.2261798753339269,0.0922925457436566,4.29,2.014106551720132,0.8,2345429.467,0.0,5.6e-05,0,❌ 不建议买入,0,234.54294670000002,9.23,61.82,25.13
300414.SZ,20250627,12.9,0.1999999999999999,0.4510686164229471,1.0738412360149174,1.1291876750700278,2.87516552664584,0.1542635658914729,0.1054671381573439,4.01,3.0954961112550388,1.0,1202434.177,0.0,5.8e-05,0,❌ 不建议买入,0,120.2434177,10.55,45.11,18.66
300600.SZ,20250627,12.96,-0.0414201183431951,0.3801916932907347,1.1010452961672472,1.1646191646191646,2.1264749950235946,0.1435185185185184,0.1250522232623846,3.5700000000000003,2.3974465407261363,0.6,968502.091,0.0,5.2e-05,0,❌ 不建议买入,0,96.8502091,12.51,38.02,15.69
600643.SH,20250627,6.92,0.1001589825119235,0.3307692307692307,1.0601449275362318,1.0959827699222775,3.337769036551017,0.0317919075144508,0.0426911494711532,1.7199999999999998,3.581156696629106,0.6,1282481.555,0.0,6.1e-05,0,❌ 不建议买入,0,128.2481555,4.27,33.08,13.95
001298.SZ,20250627,29.49,0.0999627004848937,0.3313769751693003,1.07466562784054,1.1341129179608989,1.934553674024159,0.1044421837911155,0.0395563193526242,7.34,2.1390590077094456,1.0,2351891.343,0.0,5e-05,0,❌ 不建议买入,0,235.18913429999998,3.96,33.14,13.68
002263.SZ,20250627,3.75,0.0997067448680351,0.3297872340425531,1.1002462187829758,1.1355962969685969,1.4315965808591276,0.016,0.0340616809344736,0.9300000000000002,1.5988947280525363,0.8,965298.815,0.0,5.1e-05,0,❌ 不建议买入,0,96.52988149999999,3.41,32.98,13.51
001236.SZ,20250627,14.53,0.0999242997728993,0.3305860805860805,1.0704822469528354,1.1286492526889231,0.3562908568409326,0.0,0.0268546029882015,3.61,0.4600560397362552,0.6,118262.838,0.0,5.7e-05,0,❌ 不建议买入,0,11.8262838,2.69,33.06,13.32
300993.SZ,20250627,14.68,0.2003270645952575,0.3225225225225225,1.0534629404617253,1.0470562863920638,1.89784479262142,0.1757493188010899,0.075368122162408,3.58,2.03367637438993,1.0,433629.997,0.0,5.1e-05,0,❌ 不建议买入,0,43.362999699999996,7.54,32.25,13.31
300810.SZ,20250627,44.23,-0.0020306859205776,0.2779543484542039,1.0883663574451388,1.129059456316325,1.5167904221510369,0.1257065340266786,0.0803897038294626,9.619999999999996,1.7291891602520968,0.8,1163811.276,0.0,4.8e-05,0,❌ 不建议买入,0,116.38112760000001,8.04,27.8,11.47
002961.SZ,20250627,21.66,0.0484027105517907,0.2688927943760983,1.0271795150002714,1.0367409516508788,2.2742079162412,0.0955678670360111,0.0401749427397033,4.59,2.4752234182217627,0.8,1037706.957,0.0,4.7e-05,0,❌ 不建议买入,0,103.7706957,4.02,26.89,11.25
