ts_code,trade_date,close,return_1,return_3,ma_ratio_5_10,ma_ratio_5_20,vol_ratio_5,high_low_range,return_std_5,momentum_3,amount_ratio,green_days,amount,future_max_return,预测概率,模型信心分,建议,预测标签,成交金额(亿),波动率,预测得分,综合评分
300527.SZ,20250702,12.4,0.1313868613138684,0.4171428571428572,1.0653629503666702,1.1521839080459773,1.96398281946646,0.1443548387096775,0.0878747486013857,3.65,2.2595426146345123,0.8,2797905.335,0.0,4.7e-05,0,❌ 不建议买入,0,279.7905335,8.79,41.71,17.14
300971.SZ,20250702,24.5,0.0606060606060605,0.366424986056888,1.1066364451004165,1.115011817192023,1.633534672974979,0.1583673469387754,0.0772493529520854,6.57,1.766495181397942,0.8,945603.521,0.0,3.9e-05,0,❌ 不建议买入,0,94.56035209999999,7.72,36.64,15.01
002549.SZ,20250702,12.46,0.0997352162400706,0.3311965811965813,1.0604996488411758,1.06509471987102,2.658214178770732,0.0914927768860353,0.0635255411227429,3.1000000000000014,2.8502459130774747,0.4,2216127.769,0.0,5.4e-05,0,❌ 不建议买入,0,221.61277689999997,6.35,33.12,13.82
600319.SH,20250702,7.9,0.1002785515320334,0.32996632996633,1.074282047168298,1.110079575596817,2.173005507692756,0.0658227848101266,0.0541588984979913,1.96,2.40450059484474,0.6,465940.028,0.0,5.8e-05,0,❌ 不建议买入,0,46.5940028,5.42,33.0,13.68
002658.SZ,20250702,9.47,0.099883855981417,0.330056179775281,1.0663475601648718,1.081518441103095,2.0542724752889465,0.0506863780359028,0.056129836583968,2.3500000000000005,2.263758843305917,0.6,587076.51,0.0,5.2e-05,0,❌ 不建议买入,0,58.707651,5.61,33.01,13.66
600192.SH,20250702,10.35,0.0998937300743889,0.332046332046332,1.0874147551146929,1.1135093956323006,1.0862817699973817,0.0454106280193235,0.0463848075461687,2.58,1.2719970058505332,1.0,393783.817,0.0,4.4e-05,0,❌ 不建议买入,0,39.3783817,4.64,33.2,13.53
002940.SZ,20250702,44.9,0.099951004409603,0.3217544892552251,1.0819473669039863,1.2611420027886506,1.1871310749485922,0.1051224944320712,0.0707692654343037,10.93,1.4203034465196045,0.8,926681.469,0.0,4.7e-05,0,❌ 不建议买入,0,92.66814690000001,7.08,32.18,13.16
300665.SZ,20250702,10.49,0.0458624127617148,0.2966625463535228,1.0813743218806509,1.126318432948267,2.8602048928607537,0.1868446139180172,0.0785687138608628,2.4000000000000004,3.0181651966225203,0.8,831288.67,0.0,5.1e-05,0,❌ 不建议买入,0,83.128867,7.86,29.67,12.47
300515.SZ,20250702,27.0,0.1479591836734695,0.2931034482758621,1.08537671714567,1.1703445312302518,1.2181706472423453,0.192962962962963,0.0709113953165652,6.120000000000001,1.3749509022615176,0.8,598419.637,0.0,4.3e-05,0,❌ 不建议买入,0,59.8419637,7.09,29.31,12.0
300537.SZ,20250702,28.65,0.0376675117710973,0.2893789378937894,1.0840465593974666,1.1651985924886732,1.3193620406322355,0.1082024432809772,0.0615901267045905,6.43,1.4426655908055224,1.0,1587921.506,0.0,5.1e-05,0,❌ 不建议买入,0,158.7921506,6.16,28.94,11.86
